// This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	50 s: 0.000000 age: 0.00074
0.01028	0.01125
0.01029	0.01375
0.010295	0.01125
0.010305	0.0095
0.01031	0.01125
0.010315	0.01375
0.01032	0.01125
0.01034	0.0095
0.010345	0.01125
0.01037	0.01375
0.01038	0.01125
0.010385	0.0095
0.010395	0.01125
0.0104	0.0095
0.010405	0.01125
0.01041	0.0095
0.010415	0.0085
0.01042	0.0095
0.010425	0.0085
0.010435	0.0075
0.01045	0.0065
0.01047	0.0075
0.010475	0.0085
0.01048	0.0075
0.010485	0.0085
0.0105	0.0075
0.010505	0.0065
0.01051	0.0055
0.010515	0.0065
0.01052	0.0055
0.01053	0.0045
0.010535	0.0055
0.01054	0.0045
0.010555	0.0055
0.01056	0.0045
0.01057	0.0055
0.010575	0.0045
0.01058	0.0035
0.010585	0.0045
0.01061	0.0035
0.010615	0.0045
0.01062	0.0035
0.010625	0.0025
0.01063	0.0015
0.01064	0.0025
0.010645	0.0015
0.01066	0.0025
0.01068	0.0035
0.01069	0.0025
0.010715	0.0035
0.01072	0.0025
0.01075	0.0015
0.010755	0.0025
0.01076	0.0035
0.010775	0.0025
0.010785	0.0035
0.010795	0.0045
0.0108	0.0055
0.010805	0.0045
0.01082	0.0055
0.01084	0.0065
0.01085	0.0075
0.01086	0.0085
0.010865	0.0075
0.01089	0.0085
0.010895	0.0075
0.010915	0.0065
0.01092	0.0075
0.010925	0.0065
0.010945	0.0075
0.01095	0.0065
0.01097	0.0055
0.01098	0.0065
0.010985	0.0055
0.01099	0.0065
0.010995	0.0055
0.011005	0.0065
0.01101	0.0075
0.01102	0.0085
0.011055	0.0095
0.01106	0.01125
0.01107	0.0095
0.01108	0.01125
0.01109	0.0095
0.011095	0.0085
0.0111	0.0075
0.01111	0.0065
0.01112	0.0055
0.011125	0.0045
0.01113	0.0055
0.01114	0.0045
0.011145	0.0055
0.011165	0.0045
0.011175	0.0035
0.01118	0.0045
0.0112	0.0055
0.01121	0.0065
0.011215	0.0055
0.011225	0.0045
0.01125	0.0035
0.01126	0.0045
0.011265	0.0035
0.01128	0.0025
0.01129	0.0015
0.0113	0.0025
0.01132	0.0035
0.01133	0.0045
0.011345	0.0055
0.01135	0.0045
0.011365	0.0035
0.01137	0.0045
0.01138	0.0055
0.011385	0.0045
0.011405	0.0055
0.01141	0.0065
0.01143	0.0055
0.011435	0.0045
0.011455	0.0055
0.011465	0.0065
0.01147	0.0055
0.01148	0.0045
0.011515	0.0055
0.01152	0.0045
0.01154	0.0035
0.011545	0.0045
0.01155	0.0035
0.011555	0.0045
0.01156	0.0035
0.011565	0.0025
0.01157	0.0035
0.011585	0.0025
0.011595	0.0035
0.01161	0.0045
0.011615	0.0055
0.01163	0.0045
0.011635	0.0035
0.01164	0.0025
0.011645	0.0015
0.01165	0.0025
0.01168	0.0015
0.01169	0.0005
0.011705	0.0015
0.01171	0.0005
0.011725	0.0015
0.01173	0.0005
0.011735	0.0015
0.01176	0.0025
0.01182	0.0015
0.01184	0.0025
0.011845	0.0015
0.011875	0.0025
0.011885	0.0035
0.01189	0.0025
0.011905	0.0035
0.01194	0.0045
0.011945	0.0035
0.01196	0.0045
0.011965	0.0035
0.011975	0.0045
0.011985	0.0055
0.01199	0.0065
0.011995	0.0075
0.012	0.0085
0.012005	0.0095
0.01201	0.01125
0.012025	0.0095
0.01203	0.0085
0.012035	0.0075
0.01204	0.0065
0.012045	0.0055
0.01205	0.0065
0.012055	0.0075
0.01206	0.0065
0.01209	0.0055
0.012105	0.0065
0.012115	0.0075
0.01212	0.0085
0.01213	0.0095
0.012145	0.01125
0.01216	0.0095
0.012165	0.0085
0.01217	0.0095
0.012175	0.0085
0.01218	0.0075
0.012185	0.0065
0.01219	0.0055
0.012195	0.0045
0.012215	0.0055
0.01222	0.0065
0.012225	0.0075
0.01223	0.0085
0.012235	0.0075
0.01224	0.0065
0.012245	0.0075
0.01225	0.0085
0.01226	0.0075
0.01227	0.0065
0.012275	0.0075
0.01229	0.0085
0.0123	0.0095
0.012305	0.01125
0.01231	0.01375
0.01232	0.01125
0.012325	0.01375
0.01235	0.0175
0.012375	0.01375
0.01238	0.01125
0.012385	0.01375
0.01239	0.01125
0.012405	0.01375
0.012415	0.01125
0.012435	0.0095
0.01244	0.0085
0.012445	0.0095
0.012455	0.01125
0.012465	0.0095
0.012475	0.0085
0.01248	0.0095
0.01249	0.0085
0.012505	0.0095
0.01251	0.0085
0.01252	0.0075
0.01255	0.0085
0.012555	0.0075
0.01256	0.0085
0.012585	0.0075
0.0126	0.0065
0.01261	0.0055
0.01262	0.0065
0.012625	0.0075
0.01264	0.0085
0.012645	0.0095
0.01265	0.01125
0.012655	0.0095
0.01266	0.0085
0.01267	0.0075
0.012685	0.0085
0.01269	0.0075
0.012695	0.0065
0.0127	0.0075
0.012705	0.0085
0.01271	0.0075
0.01272	0.0085
0.012725	0.0075
0.012735	0.0065
0.012745	0.0055
0.01277	0.0065
0.012775	0.0075
0.012785	0.0065
0.01279	0.0055
0.012805	0.0045
0.01282	0.0035
0.01283	0.0045
0.01284	0.0055
0.01285	0.0065
0.012855	0.0055
0.012865	0.0065
0.01287	0.0055
0.012875	0.0065
0.01288	0.0055
0.012895	0.0065
0.01291	0.0055
0.012915	0.0045
0.012925	0.0035
0.01293	0.0045
0.012935	0.0035
0.01294	0.0045
0.01295	0.0035
0.012955	0.0045
0.01296	0.0035
0.012965	0.0045
0.01298	0.0055
0.012985	0.0045
0.01303	0.0035
0.013035	0.0025
0.01304	0.0035
0.013045	0.0025
0.013055	0.0015
0.013075	0.0025
0.01308	0.0015
0.013085	0.0025
