// This is an input file for Hudson's mssel stepftn.c program
10169 N0: 10000
1
n:	102 s: 0.000000 age: 0.011500
0.018275	0.017500
0.018450	0.025000
0.018625	0.017500
0.019275	0.013750
0.019400	0.017500
0.019500	0.025000
0.019725	0.017500
0.019825	0.013750
0.019900	0.011250
0.019975	0.008750
0.020000	0.011250
0.020150	0.008750
0.020275	0.011250
0.020375	0.008750
0.020425	0.011250
0.020550	0.008750
0.020575	0.011250
0.020625	0.008750
0.020700	0.011250
0.020850	0.013750
0.020875	0.011250
0.020950	0.008750
0.021025	0.011250
0.021150	0.008750
0.021175	0.011250
0.021500	0.008750
0.021700	0.006250
0.021800	0.008750
0.021875	0.011250
0.021900	0.008750
0.022075	0.006250
0.022100	0.008750
0.022275	0.006250
0.022325	0.008750
0.022475	0.011250
0.022625	0.013750
0.022800	0.017500
0.022825	0.013750
0.022975	0.017500
0.023525	0.013750
0.023700	0.017500
0.023725	0.013750
0.024075	0.017500
0.024475	0.025000
0.025425	0.035000
0.025725	0.045000
0.025750	0.035000
0.025825	0.045000
0.026125	0.055000
0.026325	0.065000
0.026475	0.055000
0.026850	0.045000
0.026925	0.055000
0.026950	0.045000
0.027075	0.055000
0.027100	0.045000
0.027425	0.055000
0.027600	0.045000
0.027950	0.055000
0.028225	0.065000
0.028450	0.075000
0.028600	0.065000
0.028625	0.075000
0.028700	0.065000
0.028950	0.055000
0.028975	0.065000
0.029125	0.055000
0.029175	0.065000
0.029225	0.055000
0.029350	0.065000
0.029400	0.055000
0.029550	0.065000
0.029675	0.055000
0.029925	0.065000
0.029975	0.055000
0.030125	0.065000
0.030150	0.055000
0.030175	0.065000
0.030675	0.075000
0.030925	0.065000
0.031050	0.075000
0.031075	0.065000
0.031600	0.075000
0.031875	0.085000
0.032025	0.075000
0.032075	0.085000
0.032100	0.075000
0.032250	0.085000
0.032300	0.075000
0.032375	0.085000
0.032575	0.095000
0.032775	0.085000
0.033100	0.095000
0.033225	0.125000
0.038775	0.175000
0.041025	0.250000
0.041300	0.175000
0.042900	0.250000
0.065600	0.175000
0.065950	0.250000
0.066000	0.175000
0.066950	0.250000
0.067050	0.175000
0.067725	0.250000
0.067775	0.175000
0.067875	0.250000
0.067975	0.175000
0.070125	0.250000
0.070175	0.175000
0.070550	0.250000
0.070725	0.175000
0.071650	0.125000
0.071700	0.175000
0.071950	0.125000
0.072000	0.175000
0.072825	0.125000
0.073700	0.175000
0.076550	0.250000
0.080425	0.175000
0.080700	0.250000
0.080750	0.175000
0.080950	0.250000
0.081275	0.175000
0.090300	0.125000
0.090525	0.175000
0.091900	0.250000
0.093775	0.175000
0.094575	0.125000
0.095450	0.175000
0.097625	0.125000
0.101200	0.095000
0.101250	0.125000
0.101475	0.095000
0.101625	0.125000
0.102675	0.095000
0.103100	0.125000
0.103275	0.095000
0.103475	0.125000
0.103575	0.095000
0.103875	0.085000
0.103900	0.095000
0.104775	0.125000
0.104800	0.095000
0.104975	0.085000
0.105025	0.095000
0.105650	0.085000
0.105750	0.095000
0.105975	0.085000
0.106125	0.095000
0.106150	0.085000
0.106250	0.095000
0.106600	0.125000
0.107625	0.095000
0.107700	0.125000
0.109025	0.095000
0.109075	0.125000
0.109125	0.095000
0.110000	0.085000
0.110050	0.095000
0.110150	0.085000
0.110250	0.095000
0.110375	0.085000
0.111025	0.095000
0.111400	0.125000
0.112975	0.095000
