REP	0
TRA	0.0087	0.01125
TRA	0.008725	0.01375
TRA	0.00875	0.01125
TRA	0.008875	0.01375
TRA	0.009175	0.01125
TRA	0.0092	0.01375
TRA	0.009225	0.01125
TRA	0.0093	0.01375
TRA	0.0094	0.0175
TRA	0.009625	0.01375
TRA	0.00975	0.0175
TRA	0.0099	0.025
TRA	0.0108	0.035
TRA	0.010825	0.025
TRA	0.010875	0.035
TRA	0.011525	0.025
TRA	0.011675	0.035
TRA	0.0118	0.025
TRA	0.011875	0.035
TRA	0.01215	0.025
TRA	0.01285	0.035
TRA	0.012975	0.025
TRA	0.013	0.035
TRA	0.01315	0.025
TRA	0.01325	0.035
TRA	0.013275	0.025
TRA	0.01355	0.0175
TRA	0.013575	0.025
TRA	0.013675	0.0175
TRA	0.0137	0.025
TRA	0.014025	0.0175
TRA	0.01405	0.025
TRA	0.0141	0.0175
TRA	0.01475	0.025
TRA	0.01585	0.0175
TRA	0.01595	0.025
TRA	0.016025	0.0175
TRA	0.01605	0.025
TRA	0.016075	0.0175
TRA	0.016525	0.025
TRA	0.01655	0.0175
TRA	0.016575	0.025
TRA	0.0166	0.0175
TRA	0.01675	0.025
TRA	0.0168	0.0175
TRA	0.016875	0.025
TRA	0.017	0.0175
TRA	0.0184	0.01375
TRA	0.018575	0.0175
TRA	0.0191	0.025
TRA	0.019125	0.0175
TRA	0.019175	0.025
TRA	0.01945	0.0175
TRA	0.0196	0.025
TRA	0.019625	0.0175
TRA	0.01965	0.025
TRA	0.02065	0.035
TRA	0.020675	0.025
TRA	0.020775	0.035
TRA	0.021375	0.045
TRA	0.0214	0.035
TRA	0.0217	0.025
TRA	0.02255	0.035
TRA	0.0226	0.025
TRA	0.0237	0.035
TRA	0.02375	0.025
TRA	0.023825	0.035
TRA	0.0239	0.025
TRA	0.023925	0.035
TRA	0.024625	0.025
TRA	0.02565	0.0175
TRA	0.025775	0.025
TRA	0.0258	0.0175
TRA	0.02585	0.025
TRA	0.02595	0.0175
TRA	0.02605	0.025
TRA	0.026075	0.0175
TRA	0.026175	0.025
TRA	0.0262	0.0175
TRA	0.026225	0.025
TRA	0.026325	0.0175
TRA	0.02635	0.025
TRA	0.026375	0.0175
TRA	0.0265	0.025
TRA	0.027775	0.0175
TRA	0.02785	0.025
TRA	0.027875	0.0175
TRA	0.028275	0.025
TRA	0.0284	0.0175
TRA	0.028875	0.025
TRA	0.028925	0.0175
TRA	0.02925	0.025
TRA	0.02935	0.0175
TRA	0.0294	0.025
TRA	0.030125	0.0175
TRA	0.0302	0.025
TRA	0.030325	0.0175
TRA	0.0304	0.025
TRA	0.030575	0.0175
TRA	0.0306	0.025
TRA	0.030675	0.0175
TRA	0.03085	0.025
TRA	0.030875	0.0175
TRA	0.0309	0.025
TRA	0.030925	0.0175
TRA	0.03095	0.025
TRA	0.030975	0.0175
TRA	0.031	0.025
TRA	0.03105	0.0175
TRA	0.031425	0.01375
TRA	0.03155	0.01125
TRA	0.0316	0.01375
TRA	0.031725	0.01125
TRA	0.03185	0.01375
TRA	0.032025	0.01125
TRA	0.0321	0.01375
TRA	0.03215	0.01125
TRA	0.032175	0.01375
TRA	0.0323	0.01125
TRA	0.032325	0.01375
TRA	0.03245	0.0175
TRA	0.032575	0.01375
TRA	0.0326	0.0175
TRA	0.032625	0.01375
TRA	0.032725	0.0175
TRA	0.0328	0.01375
TRA	0.0329	0.01125
TRA	0.032975	0.01375
TRA	0.033	0.01125
TRA	0.033225	0.0095
TRA	0.0333	0.0085
TRA	0.03335	0.0075
TRA	0.033375	0.0085
TRA	0.03345	0.0075
TRA	0.0335	0.0065
TRA	0.033525	0.0075
TRA	0.03355	0.0065
TRA	0.033575	0.0055
TRA	0.0336	0.0045
TRA	0.033625	0.0055
TRA	0.033675	0.0065
TRA	0.0337	0.0055
TRA	0.03375	0.0065
TRA	0.033825	0.0055
TRA	0.03385	0.0065
TRA	0.0339	0.0055
TRA	0.03395	0.0065
TRA	0.033975	0.0055
TRA	0.03405	0.0045
TRA	0.03415	0.0055
TRA	0.034175	0.0045
TRA	0.0342	0.0035
TRA	0.0343	0.0025
TRA	0.0344	0.0015
TRA	0.034475	0.0005
TRA	0.0345	0.0015
TRA	0.034575	0.0005
TRA	0.034875		0
TOT	1394
REP	4
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	7.5e-05	0.0095
TRA	0.0001	0.01125
TRA	0.0002	0.01375
TRA	0.000225	0.01125
TRA	0.000425	0.0095
TRA	0.00045	0.01125
TRA	0.000525	0.0095
TRA	0.00055	0.01125
TRA	0.000775	0.01375
TRA	0.0008	0.01125
TRA	0.000825	0.01375
TRA	0.00085	0.01125
TRA	0.00095	0.0095
TRA	0.000975	0.01125
TRA	0.00125	0.0095
TRA	0.0013	0.0085
TRA	0.00135	0.0075
TRA	0.0014	0.0085
TRA	0.00145	0.0075
TRA	0.00155	0.0085
TRA	0.001625	0.0095
TRA	0.00165	0.01125
TRA	0.00185	0.0095
TRA	0.001875	0.0085
TRA	0.0019	0.0095
TRA	0.001925	0.0085
TRA	0.00195	0.0095
TRA	0.002	0.0085
TRA	0.002025	0.0095
TRA	0.002075	0.0085
TRA	0.002125	0.0095
TRA	0.00215	0.0085
TRA	0.002175	0.0095
TRA	0.0022	0.01125
TRA	0.002225	0.0095
TRA	0.002325	0.0085
TRA	0.00235	0.0075
TRA	0.002375	0.0065
TRA	0.00245	0.0075
TRA	0.002475	0.0085
TRA	0.0025	0.0075
TRA	0.002525	0.0085
TRA	0.0026	0.0095
TRA	0.00265	0.01125
TRA	0.0027	0.0095
TRA	0.002775	0.01125
TRA	0.00285	0.01375
TRA	0.00295	0.01125
TRA	0.003175	0.0095
TRA	0.003225	0.0085
TRA	0.00325	0.0095
TRA	0.003325	0.0085
TRA	0.00335	0.0075
TRA	0.003375	0.0065
TRA	0.003425	0.0055
TRA	0.00345	0.0065
TRA	0.003475	0.0055
TRA	0.003525	0.0065
TRA	0.0036	0.0055
TRA	0.00365	0.0065
TRA	0.0037	0.0075
TRA	0.003875	0.0085
TRA	0.0039	0.0095
TRA	0.00395	0.01125
TRA	0.003975	0.0095
TRA	0.004	0.01125
TRA	0.00405	0.0095
TRA	0.004075	0.0085
TRA	0.004125	0.0075
TRA	0.00415	0.0065
TRA	0.0042	0.0075
TRA	0.00425	0.0085
TRA	0.0043	0.0095
TRA	0.004325	0.0085
TRA	0.00435	0.0075
TRA	0.004375	0.0065
TRA	0.004425	0.0055
TRA	0.00445	0.0045
TRA	0.004525	0.0035
TRA	0.00455	0.0045
TRA	0.004575	0.0055
TRA	0.0046	0.0045
TRA	0.00465	0.0035
TRA	0.004675	0.0045
TRA	0.00475	0.0055
TRA	0.004775	0.0045
TRA	0.004825	0.0035
TRA	0.00485	0.0045
TRA	0.004875	0.0035
TRA	0.005	0.0045
TRA	0.00515	0.0035
TRA	0.005175	0.0045
TRA	0.0053	0.0035
TRA	0.005325	0.0045
TRA	0.005375	0.0035
TRA	0.005425	0.0025
TRA	0.00555	0.0015
TRA	0.0057	0.0025
TRA	0.00585	0.0015
TRA	0.005875	0.0025
TRA	0.0059	0.0015
TRA	0.006125	0.0005
TRA	0.00655		0
TOT	261
REP	5
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	7.5e-05	0.01375
TRA	0.0001	0.01125
TRA	0.000175	0.01375
TRA	0.0003	0.01125
TRA	0.000375	0.01375
TRA	0.0006	0.01125
TRA	0.00075	0.01375
TRA	0.0008	0.01125
TRA	0.00105	0.0095
TRA	0.00125	0.01125
TRA	0.001275	0.0095
TRA	0.0014	0.01125
TRA	0.001475	0.0095
TRA	0.001525	0.0085
TRA	0.00155	0.0075
TRA	0.0016	0.0085
TRA	0.00165	0.0075
TRA	0.001675	0.0065
TRA	0.0017	0.0075
TRA	0.001725	0.0065
TRA	0.00175	0.0055
TRA	0.001775	0.0065
TRA	0.001825	0.0055
TRA	0.001925	0.0045
TRA	0.002	0.0035
TRA	0.00205	0.0045
TRA	0.002125	0.0035
TRA	0.00215	0.0025
TRA	0.0022	0.0015
TRA	0.00225	0.0025
TRA	0.002325	0.0015
TRA	0.002375	0.0025
TRA	0.002475	0.0035
TRA	0.0025	0.0025
TRA	0.00255	0.0035
TRA	0.002575	0.0025
TRA	0.002625	0.0035
TRA	0.002725	0.0025
TRA	0.002775	0.0035
TRA	0.003025	0.0025
TRA	0.0031	0.0015
TRA	0.00315	0.0025
TRA	0.00335	0.0035
TRA	0.003425	0.0045
TRA	0.00345	0.0035
TRA	0.003575	0.0025
TRA	0.003625	0.0015
TRA	0.00385	0.0025
TRA	0.0039	0.0015
TRA	0.004225	0.0005
TRA	0.004925		0
TOT	196
REP	6
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	7.5e-05	0.0095
TRA	0.0001	0.0085
TRA	0.000125	0.0075
TRA	0.00015	0.0085
TRA	0.000225	0.0075
TRA	0.000275	0.0085
TRA	0.00035	0.0075
TRA	0.000375	0.0065
TRA	0.0004	0.0075
TRA	0.00045	0.0085
TRA	0.000475	0.0075
TRA	0.0005	0.0085
TRA	0.0006	0.0075
TRA	0.00075	0.0065
TRA	0.000775	0.0075
TRA	0.00085	0.0085
TRA	0.000875	0.0075
TRA	0.0009	0.0065
TRA	0.001	0.0055
TRA	0.00105	0.0045
TRA	0.0011	0.0055
TRA	0.001125	0.0045
TRA	0.00115	0.0035
TRA	0.001225	0.0045
TRA	0.00135	0.0055
TRA	0.001425	0.0045
TRA	0.001475	0.0035
TRA	0.00155	0.0045
TRA	0.00165	0.0035
TRA	0.0017	0.0045
TRA	0.00175	0.0035
TRA	0.001825	0.0045
TRA	0.00195	0.0035
TRA	0.0022	0.0025
TRA	0.002225	0.0035
TRA	0.002325	0.0025
TRA	0.002525	0.0035
TRA	0.00255	0.0025
TRA	0.003075	0.0015
TRA	0.003125	0.0025
TRA	0.003175	0.0015
TRA	0.0032	0.0025
TRA	0.00325	0.0015
TRA	0.0033	0.0025
TRA	0.003325	0.0015
TRA	0.00365	0.0005
TRA	0.0037	0.0015
TRA	0.003725	0.0005
